package_name,ecosystem,max_entropy,avg_entropy,eval_count,exec_count,base64_count,network_imports,label
bentley_sacs_connect_edition_free__verified__m54g-1.0.0,NPM,4.500992795523224,4.493484269189855,0,0,0,0,0
BetterRegExp-0.0.2,NPM,5.416538060174153,4.677402150613042,0,0,0,0,0
bezier-gen-1.1.2,NPM,5.116442812153162,4.428121744376355,0,0,0,0,0
bhagavad-gita-matrix-1.0.4,NPM,5.604363260404181,4.858203996774343,0,0,0,0,0
bigint-quantile-0.0.2,NPM,4.809993601291521,4.627598949689221,0,0,0,0,0
blast-points-client-1.0.3,NPM,4.998588514789271,4.5874603289632585,0,0,0,0,0
blend-0.2.4,NPM,5.40947313173314,4.5834495080580755,0,0,0,0,0
blinktjs-0.8.1,NPM,5.215825254087857,4.851119523081368,0,0,0,0,0
blurmarkettest-1.0.1,NPM,6.472093252657956,5.067897349660544,0,0,0,0,0
bnanime-2.0.0,NPM,6.10975809947946,4.550713446932959,0,0,0,0,0
botkitwit-1.0.0,NPM,5.097129652369705,4.543696124520636,0,0,0,0,0
bottom-app-bar-1.0.2,NPM,5.136832673242153,4.605596016162071,0,0,0,0,0
boxplay-watermarker-1.0.1,NPM,5.583029696400593,3.8752360798701426,0,0,0,0,0
broccoli-es6-module-transpiler-0.5.0,NPM,5.114279126553527,4.458334251015291,0,0,0,0,0
browser-1.2.0,NPM,5.552250945422126,4.968459904933578,0,0,0,0,0
browser-debug-1.0.0,NPM,7.841967846331812,5.115447316673148,3,0,0,0,0
browser-to-bearer-1.0.0,NPM,5.125775858412256,4.079067844632542,0,0,0,0,0
browserslist-config-2.0.1,NPM,5.242170782544722,4.953458086508729,0,0,0,0,0
browserslist-mixpanel-0.0.3,NPM,5.002327434268162,4.745223257131821,0,0,0,0,0
bsc-sdk-1.0.1,NPM,5.00899218713425,4.753325737889212,0,0,0,0,0
btcbox-0.0.10,NPM,5.218284756230754,4.78319177817716,0,0,0,0,0
buddy_guy_discography_torrent_zzbm-1.0.0,NPM,4.598121175531231,4.59274954596928,0,0,0,0,0
buy-vs-rent-1.2.7,NPM,5.99808899761371,5.040978087425146,0,0,0,0,0
calc-js-3.0.0,NPM,5.106031115520528,4.4733551539387895,0,0,0,0,0
calendar-1.0.17,NPM,5.054247587433499,4.596080929050867,0,0,0,0,0
callbag-to-awaitable-1.0.0,NPM,5.12944142554003,4.674856131714877,0,0,0,0,0
canvas-nice.js-1.0.4,NPM,6.314609935685092,5.411554086943144,0,0,0,0,0
canvas-rich-text-2.0.0-alpha.2,NPM,5.174901313921027,4.28463340850373,0,0,0,0,0
canvas-sketch-util-umd-1.10.6,NPM,5.426459281945976,5.219313428779009,0,0,0,0,0
